"name","category","size","open_date","close_date","owner","description","hours","source","scrape_date"
"Bienvenue Dans Votre Marché Agen","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Ahuy (dijon)","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Albertville","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Alençon","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Allonne (beauvais)","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Allonnes","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Alès","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Amilly","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Andilly","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Andrézieux-bouthéon","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Argenteuil","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Argonay","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Arras","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Athis-mons","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Aubergenville","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Aulnoy-lez-valenciennes","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Aurillac","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-20:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Avrainville","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Aytré","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
